twitter.retweet.count,twitter.retweeted.user.name,twitter.retweeted.place.place_type,links.url,interaction.source,twitter.retweet.user.screen_name,twitter.user.description,interaction.geo.latitude,twitter.retweet.user.id_str,twitter.user.verified,klout.amplification,twitter.user.id,twitter.geo.latitude,interaction.geo.longitude,twitter.retweeted.place.country_code,twitter.retweeted.place.url,twitter.place.full_name,twitter.user.listed_count,twitter.retweet.domains,links.retweet_count,twitter.user.url,twitter.user.name,demographic.gender,twitter.place.name,salience.content.entities,twitter.retweet.user.geo_enabled,twitter.retweet.user.statuses_count,twitter.text,twitter.place.id,twitter.mentions,twitter.retweeted.place.name,twitter.user.id_str,twitter.retweet.user.lang,twitter.id,twitter.retweet.user.utc_offset,twitter.retweeted.user.listed_count,twitter.retweeted.user.utc_offset,twitter.source,klout.score,interaction.author.username,twitter.retweeted.user.id,twitter.geo.longitude,twitter.place.url,twitter.retweeted.user.followers_count,trends.type,links.created_at,twitter.retweet.user.created_at,twitter.retweeted.user.friends_count,interaction.created_at,salience.content.topics,twitter.place.country,twitter.retweet.text,twitter.links,twitter.user.statuses_count,twitter.domains,twitter.retweet.links,twitter.user.followers_count,interaction.author.link,trends.source,twitter.retweet.user.id,interaction.type,klout.true_reach,interaction.id,twitter.retweet.user.followers_count,links.title,twitter.retweet.created_at,trends.content,twitter.retweeted.created_at,twitter.user.time_zone,twitter.retweeted.place.country,twitter.place.place_type,twitter.retweeted.user.location,klout.network,twitter.user.friends_count,twitter.retweet.source,interaction.link,twitter.retweet.user.listed_count,twitter.retweet.id,twitter.retweet.user.location,twitter.retweet.user.description,twitter.retweeted.geo.latitude,twitter.retweeted.user.url,twitter.retweeted.geo.longitude,twitter.user.screen_name,interaction.author.id,twitter.retweet.user.url,twitter.user.location,twitter.in_reply_to_screen_name,twitter.retweet.user.friends_count,interaction.tags,twitter.retweeted.user.time_zone,twitter.retweeted.place.id,interaction.author.avatar,language.tag,twitter.user.created_at,twitter.retweeted.user.statuses_count,twitter.user.geo_enabled,twitter.retweet.mentions,twitter.retweeted.user.description,interaction.content,twitter.retweeted.user.screen_name,twitter.retweet.user.time_zone,language.confidence,twitter.user.lang,klout.topics,twitter.in_reply_to_status_id,twitter.in_reply_to_user_id,twitter.place.country_code,salience.content.sentiment,twitter.retweeted.user.geo_enabled,twitter.retweeted.source,twitter.retweeted.user.created_at,twitter.user.utc_offset,twitter.retweeted.user.lang,interaction.author.name,twitter.retweeted.user.verified,twitter.created_at,twitter.retweet.user.name,twitter.retweeted.place.full_name,twitter.retweeted.id,twitter.retweeted.user.id_str
"","","","","web","","Qui veut ma peau aura la sienne Suspendu a un PortManteau. #Teamflopy #TeamOm #TeamZalaka    CHO NA CHOOO !  ~ 4Etoile plus moi sa fait 5 t'inquiete #TeamRohff","","","",16,604686532,"","","","","","","","","","TuConnaiDéjà","","","","","","@Melissou2fois abn jai pas du calculer cs sur mn phone tsé","","[""Melissou2fois""]","","604686532","","220653261701652480","","","","web",42,"LinPau91","","","","","","","","","Wed, 04 Jul 2012 23:00:11 +0000","","","","",4126,"","",113,"http://twitter.com/LinPau91","","","twitter",500,"1e1c62c01ddcaf80e0747102fed2a714","","","","","","","","","",22.75,109,"","http://twitter.com/LinPau91/statuses/220653261701652480","","","","","","","","LinPau91",604686532,"","BrunoY Ho0d","Melissou2fois","","[""ABN AMRO""]","","","http://a0.twimg.com/profile_images/2326673616/nm7zfmv8t1as2hytjoj9_normal.jpeg","fr","Sun, 10 Jun 2012 17:23:46 +0000","","","","","@Melissou2fois abn jai pas du calculer cs sur mn phone tsé","","",100,"fr","[""new york jets""]","220652882284916736","569108429","",-9,"","","","","","TuConnaiDéjà","","Wed, 04 Jul 2012 23:00:11 +0000","","","",""
"","","","","UberSocial for BlackBerry","","The freak girl who adored 'Lelaki Malam' too much","","","",0,377939330,"","","","","","","","","","Matryoshka","","","","","","Kadang aku suka kepikiran yg aneh2 klo pas mantan cowokku si #abn (ke)tidur(an) di tempat lain. #curious","","","","377939330","","220706408457441280","","","","<a href=""http://ubersocial.com"" rel=""nofollow"">UberSocial for BlackBerry</a>",10,"Mathryoska","","","","","","","","","Thu, 05 Jul 2012 02:31:22 +0000","","","","",1656,"","",4,"http://twitter.com/Mathryoska","","","twitter",0,"1e1c649825efa900e0741e0feba45542","","","","","","","","","",0.0,"","","http://twitter.com/Mathryoska/statuses/220706408457441280","","","","","","","","Mathryoska",377939330,"","Heart, mind, brain and head","","","[""ABN AMRO""]","","","http://a0.twimg.com/profile_images/2180297597/339017919_normal.jpg","id","Thu, 22 Sep 2011 11:19:27 +0000","","","","","Kadang aku suka kepikiran yg aneh2 klo pas mantan cowokku si #abn (ke)tidur(an) di tempat lain. #curious","","",100,"en","","","","","","","","","","","Matryoshka","","Thu, 05 Jul 2012 02:31:22 +0000","","","",""
"","","","","Twitter for Android","","J'ai pas la moyenne Quoi ? J'm'en bat les couilles J'suis sur le block j'suis sur Youtube Fuck you pay me, a-salamalikoum J'vais t'qué-bra si j'touche le RMI","","","",5,293195549,"","","","","",2,"","","http://www.facebook.com/booba.shadmyx","★$hąDm¥X★ iiZii LiF£","","","","","","@LSimpsonne abn mm pas 1 an ?","","[""LSimpsonne""]","","293195549","","220713649550012417","","","","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",45,"shadmyx","","","","","","","","","Thu, 05 Jul 2012 03:00:09 +0000","","","","",23263,"","",688,"http://twitter.com/shadmyx","","","twitter",1694,"1e1c64d87be4a280e07494c55a720354","","","","","","","","","",24.37,1212,"","http://twitter.com/shadmyx/statuses/220713649550012417","","","","","","","","shadmyx",293195549,"","LonDon & guadeloupe","LSimpsonne","","[""ABN AMRO""]","","","http://a0.twimg.com/profile_images/2368587547/552X3Csx_normal","ga","Wed, 04 May 2011 22:48:31 +0000","",true,"","","@LSimpsonne abn mm pas 1 an ?","","",62,"fr","[""facebook"",""soundcloud"",""new york jets""]","220712756008071168","373103579","","","","","","","","★$hąDm¥X★ iiZii LiF£","","Thu, 05 Jul 2012 03:00:09 +0000","","","",""
"","","","","Twitter for BlackBerry®","","#HNW manager Regiostimulering en Bedrijfsadvisering  @kvkrotterdam en fractievoorzitter #CDAZuidplas ","","","",5,191350766,"","","","","",17,"","","http://www.cda.nl/zuidplas","Wybe Zijlstra","male","","","","","Mooie inhoud #goodiebag na afloop #themater. Dank @aelkhetabi #rabobank dit komt van pas. http://t.co/DEKmRAci","","[""aelkhetabi""]","","191350766","","220763503403868160","","","","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>",29,"wybetweet","","","","","","","","","Thu, 05 Jul 2012 06:18:15 +0000","","","","",766,"","",385,"http://twitter.com/wybetweet","","","twitter",100,"1e1c6693459ead80e0740c999f05d99a","","","","","","Amsterdam","","","",8.52,458,"","http://twitter.com/wybetweet/statuses/220763503403868160","","","","","","","","wybetweet",191350766,"","Zuidplas","","","[""Rabobank""]","","","http://a0.twimg.com/profile_images/1395278454/Wybe_Zijlstra_profielfoto_kf_1_normal.jpg","nl","Thu, 16 Sep 2010 06:53:03 +0000","","","","","Mooie inhoud #goodiebag na afloop #themater. Dank @aelkhetabi #rabobank dit komt van pas. http://t.co/DEKmRAci","","",100,"en","","","","","","","","",3600,"","Wybe Zijlstra","","Thu, 05 Jul 2012 06:18:15 +0000","","","",""
"","","","","Twitter for BlackBerry®","","13 Jaar • GiantFM •  Omroep Helmond • Gek op Wintersport •  BBM: 29AF1A14 • Forza PSV • 1 broer; @Tobias_RadioDJ • Voetbal liefhebber • #TeamYS","","","",8,228805780,"","","","","",1,"","","http://www.GiantFM.nl","Wessel van den Hurk","mostly_male","","","","","@martijnceelen1 ja of bij de rabobank moet toch nog pinnen","","[""martijnceelen1""]","","228805780","","220784851442352128","","","","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>",41,"wesselvdh","","","","","","","","","Thu, 05 Jul 2012 07:43:05 +0000","","","","",36153,"","",324,"http://twitter.com/wesselvdh","","","twitter",676,"1e1c6750e3a4aa80e0740981daa69aba","","","","","","Greenland","","","",19.65,128,"","http://twitter.com/wesselvdh/statuses/220784851442352128","","","","","","","","wesselvdh",228805780,"","                 ","martijnceelen1","","[""Rabobank""]","","","http://a0.twimg.com/profile_images/2363538634/picmix-362012-132240_normal.jpeg","nl","Mon, 20 Dec 2010 18:41:18 +0000","","","","","@martijnceelen1 ja of bij de rabobank moet toch nog pinnen","","",100,"en","[""music"",""skype"",""webcam"",""money"",""#musicnews""]","220784668302245888","469526593","","","","","",-10800,"","Wessel van den Hurk","","Thu, 05 Jul 2012 07:43:05 +0000","","","",""
"","","","","UberSocial for BlackBerry","","Pingg: 28B7E36C whatsapp: 0631774994\r\n\r\n15 years old.\n\nThe girl i love @tessssax_\n           27-06-12 ♡\r\n\r\nSoulmate @_NielsB_\n\r\n\r\r\nJust follow ;*","","","",3,92767226,"","","","","","","","","","MiikeeY ","","","","","","naar rabobank even pinnen","","","","92767226","","220787993735204865","","","","<a href=""http://ubersocial.com"" rel=""nofollow"">UberSocial for BlackBerry</a>",23,"_MiKe_k","","","","","","","","","Thu, 05 Jul 2012 07:55:34 +0000","","","","",2494,"","",162,"http://twitter.com/_MiKe_k","","","twitter",146,"1e1c676ccaa9af00e0740d527c355f72","","","","","","Greenland","","","",4.79,103,"","http://twitter.com/_MiKe_k/statuses/220787993735204865","","","","","","","","_MiKe_k",92767226,"","","","","[""Rabobank""]","","","http://a0.twimg.com/profile_images/2275325701/340884401_normal.jpg","nl","Thu, 26 Nov 2009 14:45:32 +0000","",true,"","","naar rabobank even pinnen","","",64,"en","[""minnesota""]","","","","","","","",-10800,"","MiikeeY ","","Thu, 05 Jul 2012 07:55:34 +0000","","","",""
"","","","","Twitter for BlackBerry®","","Quand on nait avec certaine qualiter.     Devenir le meilleure n'est qu'une question de temp ... Le football ... ","","","",11,422183082,"","","","","","","","","","Aquiayi Yi","unisex","","","","","@ImenGrominette mdr abn ? Bah jai pas vu ! Toi tu tcroit superieur a tout le monde !! Mdr bref renvoi","","[""ImenGrominette""]","","422183082","","220791064645210112","","","","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>",41,"JasonAquiayi","","","","","","","","","Thu, 05 Jul 2012 08:07:46 +0000","","","","",3745,"","",87,"http://twitter.com/JasonAquiayi","","","twitter",554,"1e1c67880f8fa500e074ff1169b7eefe","","","","","","","","","",19.98,86,"","http://twitter.com/JasonAquiayi/statuses/220791064645210112","","","","","","","","JasonAquiayi",422183082,"","London  ","ImenGrominette","","[""ABN AMRO""]","","","http://a0.twimg.com/profile_images/2366369669/391928_1684919260039_1749380072_846254_1729489131_n_normal.jpg","fr","Sat, 26 Nov 2011 22:53:33 +0000","","","","","@ImenGrominette mdr abn ? Bah jai pas vu ! Toi tu tcroit superieur a tout le monde !! Mdr bref renvoi","","",100,"fr","[""#thuglife""]","220790772247707648","546048106","",-9,"","","","","","Aquiayi Yi","","Thu, 05 Jul 2012 08:07:46 +0000","","","",""
"","","","","Twitter for Android","","18 jaar ~ School: ROC Zeeland,Pw Kinderopvang ~ Werk: Boekenvoordeel ~ Hobby: Fotografie ~ ","","","",7,129142270,"","","","","","","","","","Samantha","female","","","","","Sinds wanneer moet ik betalen voor mij euro/wereld pas? Nu sta ik in de min... #rabobank","","","","129142270","","220807096583720960","","","","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",33,"Sammiiee13","","","","","","","","","Thu, 05 Jul 2012 09:11:28 +0000","","","","",10460,"","",77,"http://twitter.com/Sammiiee13","","","twitter",125,"1e1c681670fea000e07415b99287c8c2","","","","","","Greenland","","","",11.39,192,"","http://twitter.com/Sammiiee13/statuses/220807096583720960","","","","","","","","Sammiiee13",129142270,""," Zeeland, Goes","","","[""Rabobank""]","","","http://a0.twimg.com/profile_images/2331874817/u6wqP7I1_normal","nl","Sat, 03 Apr 2010 09:05:01 +0000","",true,"","","Sinds wanneer moet ik betalen voor mij euro/wereld pas? Nu sta ik in de min... #rabobank","","",100,"en","","","","","","","","",-10800,"","Samantha","","Thu, 05 Jul 2012 09:11:28 +0000","","","",""
"","","","[""http://www.snsbank.nl/web/particulier/klantenservice/wat-moet-ik-doen-als-ik-een-bankpas-heb-gevonden.html""]","Buzzcapture","","Welkom bij SNS Bank. Heb je suggesties of vragen over onze producten en diensten? We horen het graag. We zijn er op werkdagen van 09-17 uur. Volg je ons?","","","",6,16964728,"","","","","",86,"","[0]","http://bit.ly/webcareteam","SNSBank","","","","","","@alindamaria Bedankt voor je bericht :-). Je kunt de pas inleveren bij een SNS Winkel of opsturen, zie http://t.co/dnkD6rrq ^LV","","[""alindamaria""]","","16964728","","220840487106527232","","","","<a href=""http://www.buzzcapture.com"" rel=""nofollow"">Buzzcapture</a>",41,"SNSBank","","","","","","[""Thu, 05 Jul 2012 11:24:12 +0000""]","","","Thu, 05 Jul 2012 11:24:09 +0000","","","","[""http://bit.ly/MAkXxb""]",3883,"[""bit.ly""]","",2620,"http://twitter.com/SNSBank","","","twitter",468,"1e1c693f0301a280e0749a89f6c15e6a","","[""SNS Bank - Klantenservice - Wat moet ik doen als ik een bankpas heb gevonden?""]","","","","Amsterdam","","","",20.42,1798,"","http://twitter.com/SNSBank/statuses/220840487106527232","","","","","","","","SNSBank",16964728,"","Utrecht","alindamaria","","[""Rabobank""]","","","http://a0.twimg.com/profile_images/1246109737/caleidoscoop_bigger_normal.jpg","nl","Sat, 25 Oct 2008 09:44:36 +0000","","","","","@alindamaria Bedankt voor je bericht :-). Je kunt de pas inleveren bij een SNS Winkel of opsturen, zie http://t.co/dnkD6rrq ^LV","","",100,"en","[""financial services"",""retailers"",""netherlands""]","","123421060","","","","","",3600,"","SNSBank","","Thu, 05 Jul 2012 11:24:09 +0000","","","",""
"","","","","UberSocial for BlackBerry","","The freak girl who adored 'Lelaki Malam' too much","","","",0,377939330,"","","","","","","","","","Matryoshka","","","","","","Kirain after married #abn bakal rutin tlp gw pad jam maksi or pas gw di kantor. Ternyata sama aja pas msh pacaran. Cm chat sekucupnya #beuh","","","","377939330","","220841125454422017","","","","<a href=""http://ubersocial.com"" rel=""nofollow"">UberSocial for BlackBerry</a>",10,"Mathryoska","","","","","","","","","Thu, 05 Jul 2012 11:26:41 +0000","","","","",1671,"","",5,"http://twitter.com/Mathryoska","","","twitter",0,"1e1c6944ac96ae80e074a7a3fc680158","","","","","","","","","",0.0,"","","http://twitter.com/Mathryoska/statuses/220841125454422017","","","","","","","","Mathryoska",377939330,"","Heart, mind, brain and head","","","[""ABN AMRO""]","","","http://a0.twimg.com/profile_images/2180297597/339017919_normal.jpg","id","Thu, 22 Sep 2011 11:19:27 +0000","","","","","Kirain after married #abn bakal rutin tlp gw pad jam maksi or pas gw di kantor. Ternyata sama aja pas msh pacaran. Cm chat sekucupnya #beuh","","",73,"en","","","","","","","","","","","Matryoshka","","Thu, 05 Jul 2012 11:26:41 +0000","","","",""
